address,room,floor,page,coordinates
"13FL14FL15FL16FL17FL18FL19FL20FL21FL22FL23FL24FL25FL26FL27FL",13FL,1FL,7,"[2142.71, 41.7194, 2197.42, 1106.04]"
Spare,Spare,1FL,7,"[2405.51, 2020.57, 2469.57, 2063.44]"
33,S/H EL,1FL,7,"[1727.35, 721.036, 1750.77, 743.046]"
47,MARKET,1FL,7,"[1714.25, 1117.7, 1737.67, 1139.71]"
48,Spare,1FL,7,"[2392.26, 2003.09, 2415.67, 2025.1]"
49,FL,1FL,7,"[2392.37, 1082.35, 2415.79, 1104.36]"
50,Spare,1FL,7,"[2393.03, 1908.4, 2416.44, 1930.41]"
51,2FL,1FL,7,"[2382.56, 1003.8, 2405.97, 1025.81]"
52,Spare,1FL,7,"[2383.86, 1825.93, 2407.28, 1847.94]"
53,FL,1FL,7,"[2387.79, 920.019, 2411.21, 942.029]"
54,Unknown,1FL,7,"[2376.66, 1736.91, 2400.08, 1758.92]"
55,6FL,1FL,7,"[2375.36, 831, 2398.77, 853.01]"
56,unknown,1FL,7,"[2380.59, 1640.69, 2404.01, 1662.7]"
57,3FL,1FL,7,"[2381.25, 766.855, 2404.66, 788.865]"
58,Spare,1FL,7,"[2522.63, 1993.5, 2546.05, 2015.51]"
59,3FL,1FL,7,"[2379.94, 692.236, 2403.35, 714.246]"
60,Spare,1FL,7,"[2520.01, 1911.68, 2543.43, 1933.69]"
61,9FL,1FL,7,"[2374.05, 626.781, 2397.46, 648.791]"
62,Spare,1FL,7,"[2518.73, 1816.12, 2542.14, 1838.13]"
63,3FL,1FL,7,"[2382.56, 553.472, 2405.97, 575.482]"
64,unknown,1FL,7,"[2484.01, 549.544, 2507.43, 571.554]"
65,Unknown,1FL,7,"[2571.07, 542.999, 2594.48, 565.009]"
66,unknown,1FL,7,"[2508.23, 1736.92, 2531.64, 1758.93]"
67,2FL,1FL,7,"[2381.9, 484.09, 2405.32, 506.1]"
68,unknown,1FL,7,"[2501.68, 1640.7, 2525.1, 1662.71]"
69,FL,1FL,7,"[2382.99, 430.417, 2406.41, 452.427]"
